sido,sigungu,dong,adm_cd,corp_cnt,tot_worker,lat,lon
서울특별시,성동구,성수2가1동,11040670,3309,19307,37.536359,127.055346
경기도,광주시,광남1동,31250580,4975,19061,37.398261,127.205163
경기도,남양주시,다산1동,31130580,6322,18990,37.618756,127.156544
서울특별시,마포구,도화동,11140750,2952,18940,37.53861,126.948016
경기도,평택시,비전1동,31070670,5422,18909,37.01504,127.123713
서울특별시,종로구,이화동,11010640,1630,18900,37.579759,127.003195
경기도,김포시,고촌읍,31230120,5389,18847,37.606524,126.762765
서울특별시,강동구,성내1동,11250650,2910,18829,37.528707,127.125528
서울특별시,강남구,수서동,11230750,2080,18820,37.488693,127.100028
경기도,하남시,미사3동,31180611,4969,18788,37.550238,127.189973
경기도,안산시 단원구,신길동,31092770,3633,18686,37.331201,126.769212
서울특별시,강남구,도곡1동,11230660,2502,18608,37.488884,127.041002
인천광역시,서구,연희동,23080531,3998,18595,37.547935,126.682922
경기도,시흥시,대야동,31150510,5602,18525,37.453027,126.800025
서울특별시,강동구,길동,11250740,4994,18502,37.539803,127.146176
경기도,용인시 기흥구,영덕1동,31192630,3355,18466,37.274871,127.080057
경기도,의왕시,청계동,31170560,3558,18353,37.388173,127.011489
경기도,부천시 원미구,상동,31051621,2902,18270,37.491428,126.759226
경기도,성남시 수정구,위례동,31021680,4226,18252,37.467832,127.147024
서울특별시,서초구,잠원동,11220550,3351,18080,37.517137,127.012777
서울특별시,강서구,등촌1동,11160520,2634,17999,37.556741,126.859628
인천광역시,계양구,계산4동,23070620,4290,17842,37.538482,126.739949
인천광역시,미추홀구,도화2·3동,23090770,3467,17835,37.473448,126.662382
서울특별시,광진구,구의3동,11050620,3383,17735,37.537004,127.094235
경기도,용인시 처인구,모현읍,31191120,4547,17735,37.326434,127.218187
경기도,화성시,양감면,31240420,2954,17691,37.088361,126.959928
서울특별시,동작구,신대방2동,11200700,1765,17551,37.494556,126.920523
경기도,안성시,공도읍,31220110,4753,17503,36.994951,127.173878
경기도,용인시 처인구,이동읍,31191130,4124,17391,37.164616,127.211198
인천광역시,중구,신흥동,23010540,4111,17304,37.445093,126.625144
인천광역시,남동구,구월1동,23050510,3791,17295,37.444859,126.712352
서울특별시,양천구,신정4동,11150720,4311,17227,37.525418,126.857689
경기도,포천시,가산면,31270330,3982,17041,37.833826,127.200961
경기도,안양시 동안구,부림동,31042580,3835,17031,37.396679,126.959046
경기도,용인시 처인구,남사읍,31191140,2601,16960,37.132641,127.156592
인천광역시,계양구,작전서운동,23070580,3182,16958,37.530349,126.747897
경기도,화성시,진안동,31240520,4609,16840,37.224922,127.038222
서울특별시,송파구,풍납2동,11240520,1609,16757,37.530165,127.108148
서울특별시,서초구,방배2동,11220630,2653,16718,37.472298,126.983958
경기도,광명시,일직동,31060700,3476,16648,37.420055,126.882515
경기도,평택시,신평동,31070590,5059,16607,36.981631,127.106518
경기도,남양주시,진건읍,31130140,4731,16564,37.657945,127.185024
서울특별시,용산구,남영동,11030530,1890,16526,37.543672,126.974897
경기도,용인시 처인구,포곡읍,31191110,3772,16397,37.290513,127.217667
서울특별시,구로구,신도림동,11170510,3604,16375,37.509981,126.88208
경기도,수원시 영통구,영통2동,31014650,3155,16339,37.24814,127.054148
경기도,오산시,대원1동,31140581,4367,16246,37.137576,127.072058
경기도,군포시,송부동,31160640,2327,16200,37.321463,126.929213
서울특별시,노원구,상계6·7동,11110770,2507,16181,37.648694,127.060107
경기도,안산시 단원구,원곡동,31092760,5398,16155,37.331284,126.791753
경기도,용인시 수지구,동천동,31193560,4246,16147,37.350199,127.05744
경기도,용인시 기흥구,보정동,31192590,3671,16089,37.309289,127.10722
서울특별시,금천구,시흥1동,11180570,3941,15948,37.452307,126.900158
경기도,수원시 영통구,영통3동,31014660,4329,15932,37.251676,127.071876
서울특별시,성동구,성수1가1동,11040650,2878,15836,37.540744,127.042337
서울특별시,강동구,천호2동,11250730,4423,15746,37.544965,127.121994
서울특별시,중랑구,신내1동,11070690,2875,15711,37.61669,127.104091
서울특별시,송파구,석촌동,11240630,3699,15687,37.502808,127.102566
경기도,파주시,금촌1동,31200530,5130,15687,37.760798,126.782399
서울특별시,강서구,염창동,11160510,3018,15605,37.554535,126.871772
서울특별시,관악구,대학동,11210730,1928,15551,37.452741,126.948579
경기도,용인시 처인구,중앙동,31191510,3584,15449,37.225047,127.200563
서울특별시,종로구,가회동,11010600,957,15443,37.582634,126.986459
경기도,오산시,남촌동,31140530,3178,15435,37.159865,127.049216
경기도,여주시,여흥동,31280510,4636,15342,37.255897,127.650445
경기도,오산시,세마동,31140550,2885,15287,37.184207,127.029569
서울특별시,광진구,화양동,11050530,2975,15266,37.543222,127.073452
경기도,고양시 일산동구,백석1동,31103550,3350,15189,37.64741,126.792503
경기도,부천시 원미구,상2동,31051691,3816,15054,37.499166,126.748527
경기도,수원시 권선구,권선1동,31012600,3460,15048,37.258329,127.027124
경기도,이천시,마장면,31210340,2389,15026,37.249576,127.370845
경기도,의왕시,부곡동,31170520,2641,15016,37.319618,126.952736
경기도,양평군,양평읍,31580110,4393,14932,37.493615,127.51396
서울특별시,강서구,방화2동,11160710,2300,14902,37.582625,126.800478
경기도,광명시,철산3동,31060600,2439,14898,37.475347,126.87092
경기도,파주시,조리읍,31200150,4240,14792,37.750773,126.823099
경기도,하남시,미사1동,31180620,4756,14768,37.567752,127.204485
경기도,구리시,동구동,31120520,4141,14696,37.624609,127.13672
경기도,파주시,문산읍,31200110,4469,14667,37.874305,126.780457
서울특별시,서초구,반포1동,11220570,2525,14658,37.506436,127.01675
경기도,용인시 기흥구,기흥동,31192540,2387,14639,37.230908,127.114154
경기도,성남시 중원구,성남동,31022510,5071,14638,37.43232,127.132847
경기도,파주시,광탄면,31200350,3326,14608,37.776582,126.88299
인천광역시,서구,석남2동,23080590,3879,14599,37.504323,126.657783
경기도,남양주시,와부읍,31130110,4807,14491,37.593945,127.247087
인천광역시,부평구,부평1동,23060510,4440,14464,37.496117,126.720298
경기도,용인시 기흥구,동백2동,31192680,3969,14289,37.266786,127.161905
경기도,하남시,덕풍3동,31180560,3366,14226,37.551231,127.20463
인천광역시,서구,가좌3동,23080640,2228,14208,37.497016,126.678658
경기도,광주시,오포1동,31250511,3439,14028,37.359747,127.213151
경기도,김포시,구래동,31230630,5485,14005,37.645204,126.62729
서울특별시,마포구,아현동,11140780,2282,13979,37.55181,126.95273
서울특별시,서초구,방배4동,11220650,3197,13946,37.490707,126.991003
경기도,평택시,안중읍,31070120,4054,13909,36.990882,126.936851
경기도,군포시,광정동,31160610,3578,13857,37.367806,126.928038
경기도,양주시,양주2동,31260520,4382,13854,37.792562,127.086969
서울특별시,성북구,안암동,11080600,1841,13831,37.587717,127.0272
경기도,파주시,운정3동,31200513,4848,13661,37.711288,126.746049
경기도,평택시,서탄면,31070320,1802,13641,37.102047,127.021367
